comment_text,is_toxic
what losers,1
retarded peruvian drow,1
jesus fucking christ,1
plz rep this mf acc buyer,1
come out idiot sup,1
lftif i dc please wait i am going to start my generator and waiting for the router internet thanks  ,0
wtf is that,1
why,0
rofl,0
whos your baby idiot ,1
is there alot of gays in philippines ,1
how i know its not a trap  lol,0
what a lsoer,1
the succ,0
u play like sht anyway,1
imagine talking shit then losing,1
mother good ,0
whoops sad that outlooud,0
end it tme pas game with noob,1
shes so ugly,1
didnt think you guys got this toxic lowkey xd,0
you are so retarded pudge,1
finish it,0
my team lost lanes to this shit,1
worth ,0
fuck you too,1
what was that,0
cant wait ,0
going for u,0
w in the chat boys,0
nice bug i cant see your stupid web,0
but is it gay if the balls don t touch,1
we fed on purpose,0
gg team,0
who wanna be carry ,0
i hope his work goes under so he can play more dota,0
what was that about fucking us up later ,1
report od ty,0
undying did the mouse eat ur tongue   ,0
master of beasts    ,0
all day fucking dogshit games,1
with sniper,0
pleas,0
we deboosters are losing the rate  take push heroes  buy meteors  tide will go behind the tower in the mid and will stop creeps for   minutes  do not kill him ,0
pick pa if u like slobbering all over fat cocks til they fill ur belly with hot cum,1
rank      k matches,0
sorry you feel insulted,0
fking bs hero,1
team ,0
kaechana later comeback,0
dont wanna play this trash,1
ur an ugly whore anyways blue,1
i don t give a shit about your spic traditions,1
what happen when i dont play caore,0
rompan torres,0
undead should be segregated from the rest of us  ,0
still managed to walk  ,0
wow  such a little bitch  can t even reply normaly without insulting some one ,1
ok ok settle down and ill get off your mum,1
if youre triying to tilt me low skilled animal,1
fuk this cunt,1
ur fucking good,1
team diiot,1
carry or ruin,0
now trashtalking ,0
my ench flame me,0
maybe its his teammates,0
stop using that shit,1
mid mode whitemon  ,0
absolute dog shit toxic,1
only  ,0
oh now it is only a game ,0
ta has boots    naga is a wank hero,1
what,0
boa rs,0
how u survived both those fights   ,0
nice hero,0
the attack didnt hit,0
ur pick is shit,1
hes talking mad shit too,1
and shit on so many pos  and  ,1
the owner of the bear a gay ,1
how much ,0
pobistree spushu,0
fuck u i am the carry,1
right,0
thank,0
caming,0
and his wasting his life time on this game,0
suck my tiny pecker,1
ur mom where,1
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
wait for him,0
or smoe shit,1
you are not playing good  our afghan friends playing bad,0
so stupid offlaner ,1
son of whore rubick ,1
haters,0
for the first time,0
he went to masturbate,1
why you didnt pick ur friend wtf,1
we re learning dota this side of the river,0
easiest game of my life,0
my carry vs enemy carry,0
fat ass fuck,1
sounds something a boyt would say,0
this am is fucking the hottest trash,1
wtf thats maggie ,1
son of pig caught live on camera,1
dont pick me with bob,0
i think u like a dog,1
clown sf,1
phone  a couple of mins max,0
you are lower race,1
really,0
termine hdp ,0
we have a lil jungle bitch here,1
idiot this pudge,1
wtf racism,1
comenc me ty,0
report puck ffs,1
u can fisnih right now,0
classic    age,0
why so pussy ,1
dog storm cant backlane,1
no awareness frog,0
cant do shet wihout ur suport,1
stil lthere,0
trashcunt,1
just as noob as you are    ,1
i fucking called it    sec in advance,1
who the fuck,1
really strong series guys,0
please let us win,0
thanks for coming,0
everyone on my team should neck themselves,0
that s why u start typing,0
ulises bueno  rusherking  big one   mentiras   crossover  ,0
pls own him,0
when we had so fck trash pick,1
my suport is noob as fk,1
but brown,0
trying so fucking hard to throw since lvl  ,1
toxic,0
why always wanna chase me,0
okay but your sister put her bed next to mine,0
trash drow,1
fukion ez ching chongs,1
sht cunt techies,1
what a trash pub,1
i say to them,0
good handicap for us,0
your parents never loved you  adopted cunt,1
this team scare,0
frc,0
lol he is a fat kid,1
its rly broken shit,1
useless enemy team also cant end,1
yes we are noobs ,1
whity boyy,1
it was great ,0
timber sucks vs me and undying,1
despite both mid and offlane super feeding,0
do u already try new pudge set ,0
can end i destroy my item already,0
clowns,0
play genshin,0
why waste your own time,0
im here to bang bitches and own noobs,1
they didnt pick a single,0
clown carry ,1
bark for me cory your handler said it was allowed,1
when u r losing raxes now,0
i m a fucking hooker,1
actually dont touch his blade thanks,0
really really ez,0
you are so shit lmao,1
stop playing,0
you are the most skilled archon ive ever seen,0
disugsting gross filth race,1
it helps,0
hitting towers,0
aw shiet,1
end chicas,0
what a trash game,0
but didnt specify which game,0
mather  d,0
playing  wth rightclick hero,0
dont talk son of whore,1
ez indio,1
se distrae intentando matarme ta k abuso,0
not my fault u so fucking garbo bro ,1
yeah your history is fucking bad xdd,1
pablo hater,0
good top,0
braindead rus,1
giving you some chocolate flavoured kisses,0
thanks m ,0
more party games,0
can one of you play offlane,0
win yet ,0
more like watch if you want your eyes to beleed,0
but we will win,0
see for waht sniper  ,0
whats up,0
useless snap   brain,1
you played too scared mid qop,0
straight guys thank you,0
hard to be the best,0
we have a retarded qop,1
you suck my dick before sleep,1
inting the whole fucking game,1
you know  i didn t wanna go bkb tinker  but you re not giving me many options with your fucking laser  ,1
had a dream there didnt ya pa,0
one more g pls ,0
glad ur a good sport about it,0
rep trash smurf sf,1
acc buyer noob,1
codex pissing or sth,0
just rtarded support on my side,1
losing mid badly then tinker fucked all lanes ,1
imagine throwing this game,0
both are designed to annoy ur opponent,0
throne nuugers,0
scared bc ur mid is noob,1
dude promise got     ping then morph lose top,0
to prove i can cancel with grenade,0
u guys lose the time,0
our carry is too gay,1
see he then only can kill meepo,0
worth it,0
coming,0
im re mute you but just know you had   chance at life  and you re a chink,0
does fly works on clones ,0
seal totem not jump in this barrier,0
thron,0
he s wiping the poop off his face,1
wp wp attempt to survive,0
both drow and noob ogre,1
t fnm,0
like your mothers,0
report who,0
whats wrong noob,1
it was so traumatic,0
weak ass bitch,1
tim anjing,1
are you some kind of retard bro,1
what is he supposed to do   ,0
he is dumb,1
and then fucking lose,1
or feed on mid,0
timber last pick,0
in your mothers mouth,1
wtf is that shockwave hook interaction lmfao,1
too bad i have   rapier,0
i was so unsure to do next,0
he wont back bro,0
choppp,0
kill my currier,0
chrono the sky guys,0
to all chat,0
upset he was born in a country where they are born with small willies,1
low brain,1
can we go next,0
who tf is steven,1
kick this fking shaker,1
rosh worth it ,0
this idiot dont know to paly,1
you are still crying,0
out sniper sight,0
u can own only invoker actor players,0
grow the fuck up mongol,1
can u ff this shit xd,1
when u supp a noob team,1
way better than us,0
i cant play with  iq fcker,1
best team i had in months,0
you pick fucking undying every game,1
vvverry nice ,0
sucks to be you,1
clown,0
and juggernaut has a manta style and nothing because he decided the best thing to do once his lane was fucked was    nothing for    minutes,1
ogre is guardian or somethign,0
cant win alt ,0
dont tal to me,0
how the fuck you lost,1
cry please,0
nothing,0
fuck u bot scared dog,1
why do so many rtards play this game,1
fucking cancer,1
wtf is that walrus,1
losing to nt mider,0
finally lol,0
earth spirit,0
our venge is very mad  cause his mom still holding his winky while playing,1
chad player,0
next time dont es offlane bro  cant initiate just wait like pussy,1
wp imbecile,1
my fucking,1
bitch ass,1
oh sorry i meant pignoy,1
you die first then you can tp as cold corpse,0
and know everything ,0
idiot low rank,1
your pos   has double the nw of my jugg   ,0
stack reports for this clowny ruiner on treant,1
party with broky,0
yeash ,0
u are the idiot,1
crawl back into that pig sty lil worm,1
report them all please  such retardness,1
i would have same score as faireye,0
here to save toronto,0
puck got stomped mid but otherwise didnt do so bad,0
uck up bort,1
tough bot,0
im solo play when spirit br and shaman suck dick,1
watch out lads  this qop is farming while you fuck around top ,1
only ld and meepo,0
son of whore,1
fuck russian,1
toxcic,0
today im ur captain,0
when u re qop ,0
omg topson build,0
tangina mop  ,1
stop wasting our times,0
not that intimidating,0
wtf is your problem,1
my wit and your mom have that in common,0
before putin bomb you,1
hard to play line with rtard like you,1
am ,0
trash carry ,1
he s logic is he is noob,1
i nvr talk to u before tho,0
rapieira first item and gg,0
chase me sniper,0
look at my wk score,0
u lose   wisdom haha trash lol,1
i m cashing     s,0
party with peksudota ,0
cool throne,0
have you everrr,0
why u not in my teamxd,0
my words exactlyu xdddddddddd,0
clown meepo,1
carepichulas,0
fking trash supp,1
no he need brains,1
bought mkb,0
english and education,0
aint no way im playing against doctor sex,1
not a sea end ,0
suck my dick la,1
how many guys have fucked your mother when u were watching ,1
oh it is you devil icon,0
sound,0
that acorn got me fucked up,1
fu c,1
toxic is making me play with u,0
low rank animal,1
fucking pathetic,1
you got assisted by a centaur,0
thanks to wr,0
that chrono fuked ya,1
random or pussy,1
rebooting my laptop changed nothing   ,0
where ur mom now od,1
   observer    secntry in shop all game with   sup,0
can we all take a moment to breathe and just not play for a minute or two,0
can u do something ,0
she likes to drink cum to get into high mmr games,1
leaving sniper alone,0
did you shit in my pants,1
finally u called me,0
i report necro if u scrim rightr now,0
cumback ,1
not this game mate,0
ty ,0
marta  lpds and irevall sending their regards thron,0
let me out of this shitshow,1
im a terrorist,0
k ricooo,0
gl to new player invok,0
ind g poor country ,1
thats why you are guardian you idiot,1
rctm,0
hope u report this iodiot,1
see that,0
thats a shame,0
that arrowe,0
whity i will show you now how to play offlane,1
i play too much sd tbh,0
wtf is worng with u people  ,1
who will take it,0
grandma on fire ,0
annoying piece of shit,1
why you so silence         ,0
fuck u whore mother,1
welcome back,0
fu cheater,1
big mouth,0
learn english,0
dont over try sp cs,0
csmr,0
i knew you will come,0
bruh it deserved it,0
this fucking timber makes me sick,1
smegma in your cock,1
yes yes you fk you mom we all know now shut up and play,1
the two shit noobs ,1
no se banca   skill,0
this am is amazing,0
this game,0
report np guys ty,0
this dog say me  use tp,1
oy pick fast,0
wtf primal ,1
sup ind g ,1
how u know that noob ,1
waiting for you guys to say  end ,0
nice throw ,0
my mid is retarded,1
so useless this zeus  wanna bm,1
gg and fuck putin,1
take it easy bros ,0
fucking retard unreal,1
ty for wasting    min,0
whos playing pikmin  ,0
because thats what i queued for,0
sin carry,0
antiogamer,0
btch,1
who this gay axe,1
match,0
esp this dazzle,0
we ll give you rampage,0
i dont want ot play this,0
suck sucky,1
my supports will let you,0
why bane   im sketcher fan    ,0
is he good ,0
    match fucking smurf,1
my axe cant tank for shit so i gotta step up,1
party with uzbek or ruin,0
why the fuck,1
buy another crimson nerd,0
treant,0
you guys been called absolute morons before ,1
fukll of fucking noobs,1
cry baby stormieeee,1
tell me why so ez,0
thanks to ur teammate,0
u fuckign clowns,1
pause reason ,0
razor is such a tryhard faggot,1
heartless bear,0
yeah  this match unbalanced as fuck,1
yep  died   times in a row,0
might wanna get that examined,0
this mid and safelane   ,0
    accident don t even know how i did that,0
report anti and magnus,0
i thought all of u,0
rape ur own mom pa,1
if my venges mom isnt a fat fucking whore,1
same with bot,0
i m supposed to call you my brother  and your dog of a gf is your love,1
whats,0
ill report u and pa,0
herec,0
we fckng lost,1
no need to be cunts about it ,1
my team noob,1
invis  bitch wins again ,1
stupid bot s,1
what low mental fortitude,0
learn before u talk sh it tard,1
who needs a shard,0
more noob dotn know  timing of rs,1
basher troll though,0
its free,0
i dont speak ching chonmg,1
need mana fucker,1
distrupter says its ease    ,0
for griefing now,0
how did she get this farm  ,0
while fucking her ass,1
thanks,0
yeees  no spin,0
need a paws ,0
push ftw,0
nah    min que didnty expect game,0
asi me gusta,0
with this timber on my team,0
where tips wtf,1
sound slike he has throat cancer,0
next,0
but why linken,0
that is fucking retarded,1
spec cant cs top,0
tang ina,1
or what other shithole u from,1
it s ok,0
when the tiger hungry he eats ,0
when u go,0
he noob in short,1
three mothers,0
trash ,1
no fucking shit  you re puck,1
i gape her and fuck her ass,1
i dont know what happen toi this sht team,1
mad at that tb,0
fcuk this qop,1
well our void also sucks,1
nah that s rank,0
boring,0
not,0
namo    troll or retarded ,1
whati n the fuck,1
great fucking job od,1
last pick timber ,0
where is ur item ,0
down syndrome monkey,1
timber is casting his spells  his eyes are slightly more fucked than his cousins at family reunion  so he keeps thinking he is playing pudge,1
if u reach top     they said,0
nyxs mom is sucking me off rn,1
ur big mouth to rank   ,0
f u idiot lc  when we gank u were always jungle early game,1
piss off pa,0
he s cmming back fasat,0
gg this underlord pussy,1
u deserve nothing,0
for what,0
in arabic ,0
nailed it,0
learning,0
hey jakiro whorechild,1
who can carry or    ,0
im created by god,0
fucking trahs,1
lol that enigma,0
still cant win to me,0
and they still fail like dog,1
lycan my ass xd,1
warlock stfu noob,1
if u new who i was i wudnt talk shit   me   ,1
getting this shit rng,1
omg what a fucker,1
missed cs  ,0
even ur own team,0
win pls ,0
retarded offlane,1
f ur mom russian in dota,1
its arc warden o clock,0
u guys ok or what,0
try my asshole,1
going in tower hit range,0
you know it works when you re dead right ,0
ofcourse,0
fuickl u,1
you are lower than me cockspaghetti,1
ur mid is so trash,1
nice od afk,0
me la cachee,0
you were given a free game,0
this es,0
such a hate boner,1
ursa reported for being  a dog,1
probs fuckin goats,1
scaredy shits ,1
pick sd and mirana without combo,0
every game i play with idiots    ,1
that  ,0
im gonna go play overwatch fuck this,1
she cant do shit,1
like fuck off cunt,1
end please i got the rtard team again ,1
weirdest shit ive ever seen,1
idk wtf my team is doing,1
end this boring ass game,0
fuck why pigg jugg,1
report gay jugg,1
report ty,0
will sup only with boom,0
they said supp  st,0
fk off spe,1
i ate a shit ton of broccoli,1
i fuck both of ur gay fyucking faggot dads,1
pa throwing,0
to base,0
  sitting in base,0
he scared,0
ibs is not a handicap,0
you are shit player bro come on ,1
learn from replay ok  ,0
low mmr trash,1
any offlaner,0
stop this shit ,1
noob carry jugg,1
hhilarious rubick,0
tellme what do u wantfrom me  ,0
bzm also tilted ,0
i have     winrate tq bro,0
shut up nigger go back to candyland,1
that stupd,1
wtf just rat ,1
but ur team left u,0
throne it up ,0
who banned naix,0
well not really  ytou were shit,1
first hit bash,0
stop walking to fountain,0
intro boy ,0
bro idk how to use this,0
packetloss,0
dont forget to report this faggot sb ,1
team afk,0
break items,0
  cis team,0
not in one team with manticore pls,0
was lost,0
crusader rank is tier of noobs,1
for a  rd world dog,1
 pior de todos,0
so its not fair then wtf,1
your ancient needs that much help ,0
on bot ,0
you and i,0
mine crying from beggining,0
fk ur country,1
sort of ,0
crash,0
easiest fucking top of my lfie,1
pause for him ,0
very hard,0
ks this nob g,1
luna once saw how her dad is fucking her another dad,1
u wont fight,0
can we swap report for ursa ,0
i know ur life is bullshit,1
noobs are   for   today,1
nice of you to come back to the lost lane enigma,0
no tps team shit,1
hellow,0
actually hilarious ,0
ur not even there,0
you play the exact same hero,0
the goofy ass cookie,0
trash   low skill,0
lol big fucking brains on this puck,1
pudge go home man,0
but saberchad stronger,0
this is funny this hero got   fkin intellengence,1
when this dick head is whining already,1
help a brotha wet his willy,1
pls be nice,0
fuc off,1
always   dog suck my djck    ,1
nice off,0
wha mean,0
also our es,0
ubos tuloy kayo araw araw,0
in the name of allah,0
french plese,0
idiot as fuck,1
fair play i respect it,0
i ll steaaaal everything from youuu,0
beleive that you can kill more than a lowly lich,0
c an w e  end ,0
you were never gonna win with brad on your team anyway dude,0
  times my buttons were pressed,0
why me ,0
fuck this trashg shit,1
fucking retarded cunt,1
 the squirt is piss ,1
team idiots,1
trashcans,0
what a moron,1
ill roll for yous,0
jugger was really bad,0
u have reached a stage of the game where sniper understands how to play now,0
after the loss,0
in real life,0
 but ty ,0
his router isn t giving input output,0
wtf i thought offlane or jg huskar,1
i really fuckign tried,1
nothings gonna change the fact u son of whores are  k mmr ,1
sh currier,0
shove it up your ass,1
will not supp,0
ty free duel,0
phoenix w the drip,0
ez as ur mom was,1
this fucking,1
im higher rank  more people would watch me then your dumbass,0
wait for lc,0
where my archin gank all map,0
by the way a noob necro,1
and otehr times dont,0
literal definiton of a sore loser,1
retarded ape,1
youre lucky our bs built like a fucking offlane or something,1
nice shit  d ,1
then first hit tried it became dark xd dota wtf,1
noob will lose no matter how,1
report legion not playing his role,0
wat a trash,1
party with    ,0
cant speak for the others,0
my oflainer,0
 nyx reported,0
      of gold xd,0
u know who is dick,1
u talk alot of shit for a game thats not won yet,1
what a loser,1
cu slabul asta de why so serious,0
so fuck it ,1
idiot how,1
how to win ,0
stupid carry,1
always kill me first,0
do i really hurt the ones i love   ,0
i think pl may be the top contender for gayest hero ,1
aight gg,0
hope atomic bomb will land their home,1
idiot team,1
thats only illu bro,0
tired of supporting fucking noobs,1
he prob gonna play better than this qop,0
idk man i have pos   talking shit to me all game when he picks alch pos   and feeds all game ,1
future and  or k can mid,0
worth,0
the fuck,1
     me when rape ur mom,1
rat fagot team,1
what piggy,1
why respect  ,0
wtf was that idiot fish,1
fuck this night,1
sry its raining,0
with his low brain,1
ksh smurf or what  ,0
im not there retards,1
ty for win,0
you understand me now ,0
is fucking u in mid ,1
nt am,0
easy,0
he is retarded,1
im in discord with him,0
cool game,0
our  th is different,0
we literally cannot win because arc warden iwll never fight,0
 good game easy,0
hilarious,0
ceb bto dne or feed ,0
tanga mo,1
pa is crying,0
tnagina ign pa lang,1
why you tip me unskilled bitch ,1
worst team ever,0
i thought meepo storm would get fucked this game,1
fuck off nabsters,1
was it worth it ,0
gg fuck this unedrlord,1
it s the same reason why you play so shit,1
but thats the peruvian way,0
lost to shitwrath,1
stupid cnt i got two for your one,1
and report the whores on puck and axe,1
god of stupid,1
also u swapped my storm,0
rat ass bitch,1
kinda free game for you,0
what are the fucking odds,1
classic road to  k guy,0
team is dogs,1
nice feed retard,1
name chinese,0
vacation in new jersey ,0
gay over,1
you re literally a retard,1
brat ty chego,0
is idiot pick veng,1
are you chingchong ,1
find me gay ,1
dont play with flowers if you want to get your arse tickled,0
did he kill anyone  ,0
suck my ass,1
u knwo why putin rape ur ass ,1
sorry to waste your time,0
for yourself,0
why do i need to cry  ,0
just go throne,0
willow suck it,0
sorry busy fucking ur motherss,1
  win worth    losses where you get shitstomped like this and paused like    times,1
trash offlane pa,1
witch brazilian nobb,1
fucking crybaby stealer bitch,1
me and fuck sippin,1
lose now ,0
and my   sits top with his thumb up his ass,1
u suck line for me all game,1
ok that was personal,0
shut up archon noob,1
more than there are minutes this game,0
how come visage never gets banned,0
fck u pl ahhaha,1
but this dude dont hahaha,0
ur not serious idiot,1
ez win for you,0
lmao u clowns,1
you killed me and got   level wtf,1
we can t kill jugg,0
you think im football  ,0
hand of midas  what a joke,0
so its ur fault noob,1
straight pls,0
toxic shit,1
if you re playin  me  keep it on the low cause my heart can t take it anymore,0
for sure,0
with a big nose,1
trash team,1
go thorne,0
disrupt mid from there you know its gg,0
thats mad racist,0
report brown,0
why you think you can talk to me  ,0
u do not count my friend,0
go fuck yourself ,1
what is sex ,1
acc buying son of whore,1
because es babysit,0
harosh,0
bro i need some crits fuck me ,1
crashed,0
nice catch retard  d,1
i feel like you should know,0
tri lane for what ,0
dick for living,1
racoon mid razor wins this,0
on the map,0
every day,0
use shell,0
wasting time ,0
this brood is a fatbitch,1
razor isnt carry ,0
pink u had him in ur team and  nd picked him,0
fucking brilliantly person here,1
second game useless team,1
wtf is up with you guys,1
thx go,0
cringe shit,1
pink dont pick me ty,0
omg no this trash no way,1
honestly prob best as   atm  had some luck there when i ve been core,0
i first picked pudge bro,0
u suck ember s fist,1
again all legends enemy team and my team archons,0
and fuck putin,1
i got baited,0
end your mom,1
so fucking stupid,1
what server  ,0
stupid ass bitch,1
no need for salt  qop is whiny enough as it is,0
very happy,0
very sad aint it s,0
undy low shit min    use go end gg and play    min,1
and u will have tip,0
click on his sniper avatar,0
stop aim me ,0
of my life,0
son of dog,1
now fucking kill your team,1
whatever  fuck putin,1
top,0
space cow is also always a gay hero,1
have an unsucked dick ,1
annnoying bitch,1
drow lowest rank in the team cant adjust,0
ur team so asshole,1
why cant i have some fucking common sense,1
already ,0
fuck this mars mother,1
i dont wanna play wtih some trash mopngolian and myasnmar players,0
good trade clowns   ,1
nyx just type virgin and u win,0
ignore our monkey io,1
my support is shet and useless,1
fucknig palying turn based rpg with qop here,1
they are farming u,0
hes new,0
why sell items wk  ,0
useless as your army,1
cancel charge pls ,0
when lc mom die she say ah,1
team worried about alch for what,0
bad draft with a shit tide player,1
please blue,0
idiot carry,1
fk u,1
he literally stand still,0
you die like the bitch you are,1
  fkin losers just can t seem to end,1
fuq off,1
thank fuck,1
bkb really fucked yall up huh,1
another great game,0
idiot tide,1
eayh bc sven mf support ,1
fight  e,0
he told,0
he had good reason its not ranked,0
bitch,1
im so fucking bad at this game,1
end this stupid game with stupid cores,1
u have gay hero,1
fuck this game,1
wtf ur mom came back my ,1
fuck your mother in teh asshole,1
fucking apes,1
after this game,0
lc u r such a shit eater,1
riki got a fuciking fly ,1
a fuckcing fly on riki this game ,1
my team pause sorry,0
can we go next ,0
go to this whore,1
u understand that if by some miracle,0
with your mom,1
did i fucked your mother  ,1
incompetenct cores blaming support,0
piece of trash,1
     to     ,0
pussy bitch,1
medalion or force,0
ching chong wanna be,1
that doesn count,0
wtf u talkin about ,1
stuid team,1
suck,0
wdym  you talk to me  st,0
seriously can you guys just end this shit,1
jugger playing world of warcraft killin creeps,0
i m divine   but i m fucking u in the ass xd,1
this invo is so trash,1
no buy still come out farm,0
dont rat man its so loserish,0
eather play or stop wasting time you idiots,1
imagine thinking u can go offlane wk first item fucking radiance lol,1
it seems your mom didnt breastfeed you yesterday,1
i cant understand that shit,1
